EXCH_ID	SEGMENT	SECURITY_ID	ISIN	INSTRUMENT	UNDERLYING_SECURITY_ID	UNDERLYING_SYMBOL	SYMBOL_NAME	DISPLAY_NAME	INSTRUMENT_TYPE	SERIES	LOT_SIZE	SM_EXPIRY_DATE	STRIKE_PRICE	OPTION_TYPE	TICK_SIZE	EXPIRY_FLAG	BRACKET_FLAG	COVER_FLAG	ASM_GSM_FLAG	ASM_GSM_CATEGORY	BUY_SELL_INDICATOR	BUY_CO_MIN_MARGIN_PER	SELL_CO_MIN_MARGIN_PER	BUY_CO_SL_RANGE_MAX_PERC	SELL_CO_SL_RANGE_MAX_PERC	BUY_CO_SL_RANGE_MIN_PERC	SELL_CO_SL_RANGE_MIN_PERC	BUY_BO_MIN_MARGIN_PER	SELL_BO_MIN_MARGIN_PER	BUY_BO_SL_RANGE_MAX_PERC	SELL_BO_SL_RANGE_MAX_PERC	BUY_BO_SL_RANGE_MIN_PERC	SELL_BO_SL_MIN_RANGE	BUY_BO_PROFIT_RANGE_MAX_PERC	SELL_BO_PROFIT_RANGE_MAX_PERC	BUY_BO_PROFIT_RANGE_MIN_PERC	SELL_BO_PROFIT_RANGE_MIN_PERC	MTF_LEVERAGE
NSE	D	67865	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67500-CE	BANKNIFTY 28 AUG 67500 CALL	OP	NA	35	8/28/2025	67500	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67978	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67500-PE	BANKNIFTY 28 AUG 67500 PUT	OP	NA	35	8/28/2025	67500	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67979	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67600-CE	BANKNIFTY 28 AUG 67600 CALL	OP	NA	35	8/28/2025	67600	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67980	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67600-PE	BANKNIFTY 28 AUG 67600 PUT	OP	NA	35	8/28/2025	67600	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67990	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67700-CE	BANKNIFTY 28 AUG 67700 CALL	OP	NA	35	8/28/2025	67700	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68016	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67700-PE	BANKNIFTY 28 AUG 67700 PUT	OP	NA	35	8/28/2025	67700	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68017	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67800-CE	BANKNIFTY 28 AUG 67800 CALL	OP	NA	35	8/28/2025	67800	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68026	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67800-PE	BANKNIFTY 28 AUG 67800 PUT	OP	NA	35	8/28/2025	67800	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68027	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67900-CE	BANKNIFTY 28 AUG 67900 CALL	OP	NA	35	8/28/2025	67900	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68028	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67900-PE	BANKNIFTY 28 AUG 67900 PUT	OP	NA	35	8/28/2025	67900	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
